paper1,paper2,cocitation_strength
https://openalex.org/W3023350488,https://openalex.org/W3119033176,7
https://openalex.org/W2214124115,https://openalex.org/W2515075153,7
https://openalex.org/W2409632422,https://openalex.org/W2797086257,7
https://openalex.org/W2107583208,https://openalex.org/W2417249256,7
https://openalex.org/W2132572134,https://openalex.org/W2797086257,7
https://openalex.org/W2129236002,https://openalex.org/W2810134117,6
https://openalex.org/W2132572134,https://openalex.org/W2409632422,6
https://openalex.org/W2162084786,https://openalex.org/W2404141049,6
https://openalex.org/W2326394492,https://openalex.org/W3005981547,6
https://openalex.org/W2129236002,https://openalex.org/W2409632422,6
https://openalex.org/W2567967956,https://openalex.org/W2797086257,6
https://openalex.org/W2214124115,https://openalex.org/W2805382151,6
https://openalex.org/W2515075153,https://openalex.org/W3005981547,6
https://openalex.org/W2558617245,https://openalex.org/W2597608082,6
https://openalex.org/W2567967956,https://openalex.org/W3023350488,6
https://openalex.org/W2409632422,https://openalex.org/W2805382151,6
https://openalex.org/W3119033176,https://openalex.org/W3194468518,6
https://openalex.org/W2404141049,https://openalex.org/W3194468518,6
https://openalex.org/W2404141049,https://openalex.org/W2597608082,6
https://openalex.org/W2132572134,https://openalex.org/W3119033176,6
https://openalex.org/W2919467037,https://openalex.org/W3194468518,6
https://openalex.org/W2162084786,https://openalex.org/W2797086257,6
https://openalex.org/W2597608082,https://openalex.org/W3119033176,6
https://openalex.org/W2404141049,https://openalex.org/W2789275349,6
https://openalex.org/W2789275349,https://openalex.org/W3005981547,6
https://openalex.org/W2132572134,https://openalex.org/W2214124115,6
https://openalex.org/W2129236002,https://openalex.org/W2596589504,6
https://openalex.org/W2805382151,https://openalex.org/W2919467037,6
https://openalex.org/W2797086257,https://openalex.org/W2805382151,6
https://openalex.org/W2099504029,https://openalex.org/W2417249256,6
https://openalex.org/W2129236002,https://openalex.org/W2326394492,6
https://openalex.org/W2805382151,https://openalex.org/W3023350488,6
https://openalex.org/W2515075153,https://openalex.org/W2574314595,5
https://openalex.org/W2292624613,https://openalex.org/W2574314595,5
https://openalex.org/W2099504029,https://openalex.org/W2472430800,5
https://openalex.org/W2404141049,https://openalex.org/W2568619829,5
https://openalex.org/W2417249256,https://openalex.org/W2567967956,5
https://openalex.org/W2094255732,https://openalex.org/W2162084786,5
https://openalex.org/W2803456993,https://openalex.org/W2805382151,5
https://openalex.org/W2129236002,https://openalex.org/W2805382151,5
