paper1,paper2,coupling_strength
https://openalex.org/W2107583208,https://openalex.org/W2568619829,10
https://openalex.org/W2805382151,https://openalex.org/W2810134117,10
https://openalex.org/W2568619829,https://openalex.org/W3005981547,10
https://openalex.org/W2596589504,https://openalex.org/W3023350488,10
https://openalex.org/W2099504029,https://openalex.org/W2409632422,9
https://openalex.org/W1971022314,https://openalex.org/W2099504029,9
https://openalex.org/W2094255732,https://openalex.org/W3119033176,9
https://openalex.org/W2099504029,https://openalex.org/W2568619829,9
https://openalex.org/W2409632422,https://openalex.org/W3005981547,9
https://openalex.org/W2409632422,https://openalex.org/W3119033176,9
https://openalex.org/W2099504029,https://openalex.org/W2326394492,9
https://openalex.org/W2129236002,https://openalex.org/W2132572134,9
https://openalex.org/W2129236002,https://openalex.org/W3119033176,9
https://openalex.org/W2162084786,https://openalex.org/W3119033176,9
https://openalex.org/W2558617245,https://openalex.org/W3082361867,9
https://openalex.org/W2810134117,https://openalex.org/W3023350488,9
https://openalex.org/W2099504029,https://openalex.org/W2919467037,9
https://openalex.org/W2099504029,https://openalex.org/W2214124115,9
https://openalex.org/W2292624613,https://openalex.org/W3119033176,9
https://openalex.org/W2107583208,https://openalex.org/W2574314595,9
https://openalex.org/W2094255732,https://openalex.org/W2099504029,9
https://openalex.org/W2099504029,https://openalex.org/W3194468518,9
https://openalex.org/W2292624613,https://openalex.org/W3005981547,9
https://openalex.org/W2162084786,https://openalex.org/W2404141049,9
https://openalex.org/W2805382151,https://openalex.org/W3023350488,8
https://openalex.org/W3023350488,https://openalex.org/W3184750000,8
https://openalex.org/W2107583208,https://openalex.org/W2409632422,8
https://openalex.org/W2797086257,https://openalex.org/W3005981547,8
https://openalex.org/W2132572134,https://openalex.org/W2404141049,8
https://openalex.org/W2409632422,https://openalex.org/W2810134117,8
https://openalex.org/W2099504029,https://openalex.org/W2574314595,8
https://openalex.org/W2099504029,https://openalex.org/W2597608082,8
https://openalex.org/W2129236002,https://openalex.org/W2568619829,8
https://openalex.org/W2568619829,https://openalex.org/W3008352878,8
https://openalex.org/W3023350488,https://openalex.org/W3119033176,8
https://openalex.org/W3005981547,https://openalex.org/W3184750000,8
https://openalex.org/W2805382151,https://openalex.org/W3184750000,8
https://openalex.org/W2803456993,https://openalex.org/W3005981547,8
https://openalex.org/W2094255732,https://openalex.org/W3082361867,8
https://openalex.org/W2568619829,https://openalex.org/W3119033176,8
https://openalex.org/W2797086257,https://openalex.org/W3119033176,8
https://openalex.org/W2515075153,https://openalex.org/W3008352878,8
https://openalex.org/W2292624613,https://openalex.org/W3194468518,8
https://openalex.org/W2805382151,https://openalex.org/W3119033176,7
https://openalex.org/W3005981547,https://openalex.org/W3194468518,7
https://openalex.org/W2214124115,https://openalex.org/W2472430800,7
https://openalex.org/W2567967956,https://openalex.org/W3184750000,7
https://openalex.org/W2107583208,https://openalex.org/W3082361867,7
https://openalex.org/W2919467037,https://openalex.org/W3194468518,7
https://openalex.org/W2162084786,https://openalex.org/W2597608082,7
https://openalex.org/W2132572134,https://openalex.org/W2568619829,7
https://openalex.org/W3005981547,https://openalex.org/W3082361867,7
https://openalex.org/W2292624613,https://openalex.org/W2568619829,7
https://openalex.org/W2574314595,https://openalex.org/W3005981547,7
https://openalex.org/W3008352878,https://openalex.org/W3119033176,7
https://openalex.org/W2810134117,https://openalex.org/W3082361867,7
https://openalex.org/W2578695135,https://openalex.org/W3005981547,7
https://openalex.org/W2099504029,https://openalex.org/W2810134117,7
https://openalex.org/W2007201594,https://openalex.org/W2107583208,7
https://openalex.org/W2574314595,https://openalex.org/W2597608082,7
https://openalex.org/W2404141049,https://openalex.org/W2803456993,7
https://openalex.org/W2567967956,https://openalex.org/W2767698603,7
https://openalex.org/W2404141049,https://openalex.org/W2597608082,7
https://openalex.org/W2132572134,https://openalex.org/W2597608082,7
https://openalex.org/W2107583208,https://openalex.org/W2797086257,7
https://openalex.org/W2404141049,https://openalex.org/W2515075153,7
https://openalex.org/W2326394492,https://openalex.org/W3119033176,7
https://openalex.org/W2567967956,https://openalex.org/W2578695135,7
https://openalex.org/W2810134117,https://openalex.org/W3194468518,7
